Store 206:  Watauga, TX ISI Location # 2511
76	56	$8,524	$112.16	$502.83	$8,022	$105.55	56	1
76	$38.74	$8,524	$112.16	$73.42	16.0%	22.4%	$17.94	1.16	$25.11	$69.11
76	$38.74	$8,022	$105.55	$66.81	17.0%	23.8%	$17.94	1.16	$25.11	$62.50
76	49	64.5%	27	35.5%	16	13	3	$502.83	$465.83	$37.00
Conventional Oil	16	28.6%
High Mileage Oil	2	3.6%
Semi-Synthetic Oil	8	14.3%
Synthetic Oil	30	53.6%
Store 206:  Watauga, TX ISI Location # 2511
ADD	ADDITIVES	9	11	$0.00	11.8%	16.1%
AF	AIR FILTERS	7	7	$195.93	9.2%	12.5%
AFC	ANTIFREEZE/COOLANT	5	50	$0.00	6.6%	8.9%
ATF	AUTO. TRANS. FLUID	1	10	$0.00	1.3%	1.8%
ATS	AUTOMATIC TRANS SERVICE	1	1	$139.99	1.3%	1.8%
BCC	BATTERY CLEANING SERVICE	1	1	$19.99	1.3%	1.8%
BKF	BRAKE FLUSH	3	3	$299.97	3.9%	5.4%
BOC	BOTTLED OIL UPCHARGE	2	2	$10.00	2.6%	3.6%
CF	CABIN AIR FILTER	3	3	$119.97	3.9%	5.4%
COM	INVOICE COMMENTS	66	110	$0.00	86.8%	117.9%
CON	CONVENTIONAL OIL	16	16	$0.00	21.1%	28.6%
CW	CAR WASH SERVICES	56	56	$0.00	73.7%	100.0%
EF	ENGINE FLUSH SERVICE	4	4	$319.96	5.3%	7.1%
EMC	STATE INSPECTIONS	29	29	$739.50	38.2%	51.8%
FIS	FUEL INJECTION SERVICE	2	2	$279.98	2.6%	3.6%
FS	FULL SERVICES	56	56	$2,071.44	73.7%	100.0%
GL	GEAR LUBE OILS	1	3	$0.00	1.3%	1.8%
INX	INSPECTION FAIL	9	9	$0.00	11.8%	16.1%
LB	LIGHT BULBS	1	1	$9.99	1.3%	1.8%
LR	LIGHT REPAIR	5	6	$1,552.71	6.6%	8.9%
MIS	MISCELLANEOUS CHARGE	12	14	$0.00	15.8%	21.4%
OF	OIL FILTERS	57	60	$0.00	75.0%	101.8%
OIL	ENGINE OIL	56	311.8	$407.26	73.7%	100.0%
PLG	OIL PAN PLUGS	1	1	$4.99	1.3%	1.8%
PS	POWER STEERING SVCS.	1	1	$79.99	1.3%	1.8%
RDS	REAR DIFFERENTIAL SVC	1	1	$79.99	1.3%	1.8%
REC	RECOMMENDED SERVICES	24	58	$0.00	31.6%	42.9%
RS	RADIATOR SERVICES	5	5	$399.95	6.6%	8.9%
SFC	SPECIAL FILTER CHARGE	21	24	$97.00	27.6%	37.5%
SN1	SYNTHETIC BLEND	6	6	$84.00	7.9%	10.7%
SN2	HIGH MILEAGE OIL	2	2	$28.00	2.6%	3.6%
SN3	PREMIUM SYNTHETIC OIL	3	3	$132.00	3.9%	5.4%
SSE	SHOP SUPPLY ENVIRONMENTAL	58	67	$274.00	76.3%	103.6%
SYN	SYNTHETIC OIL	27	27	$918.00	35.5%	48.2%
TW	TRANSMISSION WAIVERS	1	1	$0.00	1.3%	1.8%
WB	WIPER BLADES	5	12	$234.88	6.6%	8.9%
