Store Number,Item Category Code,Item Category Description,Total Quantity,Amount,Total Item Cost
206,#W,WARRANTIES,176.00,$0.00,$0.00
206,AC,A/C SERVICE,2.00,$179.98,$0.00
206,ADD,ADDITIVES,"26,990.00","$1,897.50","$15,572.03"
206,AF,AIR FILTERS,"1,550.99","$42,254.28","$11,733.52"
206,AFC,ANTIFREEZE/COOLANT,"4,220.00",$0.00,"$4,181.45"
206,ALN,ALIGNMENT SERVICES,39.00,"$2,779.65",$0.00
206,ATF,AUTO. TRANS. FLUID,"3,026.00",$197.78,"$11,792.63"
206,ATS,AUTOMATIC TRANS SERVICE,308.77,"$44,020.52",$0.00
206,BAT,BATTERIES,325.00,"$29,398.31","$15,836.20"
206,BCC,BATTERY CLEANING SERVICE,8.00,$159.92,$0.00
206,BKF,BRAKE FLUSH,378.00,"$34,466.22",$0.00
206,BKS,BRAKE FLUSH,424.00,"$38,155.76",$0.00
206,BOC,BOTTLED OIL UPCHARGE,398.00,"$1,949.00",$0.00
206,CF,CABIN AIR FILTER,"1,326.75","$30,571.42","$5,628.07"
206,CFC,CUSTOMER FILTER CREDIT,55.00,($110.00),$0.00
206,COM,INVOICE COMMENTS,"2,111.00",$0.00,$0.00
206,CON,CONVENTIONAL OIL,"27,322.93","$19,623.09","$65,848.82"
206,CW,CAR WASH SERVICES,"14,061.00",$0.00,$0.00
206,DYE,ENGINE OIL DYE DIAGNOSTIC,1.00,$9.99,$9.99
206,EDF,ENVIRONMENTAL DISPOSAL,"16,057.00","$53,627.50",$0.00
206,EF,ENGINE FLUSH SERVICE,165.95,"$13,274.34",$165.95
206,EFS,ENGINE FLUSH SERVICES,13.00,"$1,039.87",$23.89
206,FDS,FRONT DIFF SERVICE,52.00,"$3,969.48",$0.00
206,FF,FUEL FILTERS,193.00,"$14,439.08","$4,417.46"
206,FIC,FUEL INFJECTOR ADDITIVE,7.00,$139.93,$45.50
206,FIS,FUEL INJECTION SERVICE,307.00,"$34,607.36","$10,975.52"
206,FS,FULL SERVICES,"14,062.00","$733,987.38","$16,825.50"
206,GL,GEAR LUBE OILS,719.40,$98.97,"$4,825.89"
206,HR,HEADLIGHT RESTORATION,41.00,"$2,049.59",$0.00
206,INS,STATE INSPECTIONS,"8,733.00","$211,508.50","$52,780.50"
206,INW,INSPECTION WINDOW CERT.,5.00,$0.00,$0.00
206,INX,INSPECTION FAIL,"6,874.00",$0.00,$0.00
206,LAB,LABOR,353.15,"$4,384.00",$0.00
206,LB,LIGHT BULBS,580.00,"$7,141.20","$1,012.01"
206,LE,MECHANICAL LABOR,3.05,$304.71,$0.00
206,MIS,MISCELLANEOUS CHARGE,"5,876.98","$3,903.85","$1,037.99"
206,MTS,TOTAL MTS,4.00,$249.96,$0.00
206,NIT,NITROGEN TIRE SERVICE,4.00,$199.96,$40.00
206,OF,OIL FILTERS,"14,279.00",$575.07,"$37,842.24"
206,OIL,ENGINE OIL,"11,066.90","$14,035.41","$24,229.65"
206,PLG,OIL PAN PLUGS,207.00,"$1,030.44",$616.43
206,PRT,MECHANICAL PART,"1,641.99","$709,494.00","$97,489.68"
206,PSF,POWER STEERING FLUSH,102.00,"$7,518.98",$502.67
206,PSS,POWER STEERING SERVICES,65.88,"$4,728.54",$301.57
206,RDS,REAR DIFF SERVICE,191.00,"$15,858.09","$1,030.00"
206,REC,RECOMMENDED SERVICES,"17,850.71",$0.00,$0.00
206,RS,RADIATOR SERVICES,423.00,"$33,835.77",$0.00
206,SFC,SPECIAL FILTER CHARGE,"3,169.00","$14,070.99",$152.00
206,SN1,SYNTHETIC BLEND,360.00,"$5,040.00",$0.00
206,SN1,SYNTHETIC BLEND OIL,"12,776.30","$12,980.61","$48,537.25"
206,SN2,HIGH MILEAGE OIL,"4,231.90","$4,592.82","$15,026.15"
206,SN3,PREMIUM SYNTHETIC OIL,"5,978.37","$17,153.11","$37,057.96"
206,SYN,SYNTHETIC OIL,"20,653.75","$50,855.77","$89,140.85"
206,TCS,TRANSFER CASE SERVICE,41.00,"$1,719.59",$0.00
206,TF,TRANSMISSION FILTER,1.00,$39.99,$11.19
206,TRS,TIRE ROTATIONS,393.00,"$8,006.87",$0.00
206,TW,TRANSMISSION WAIVERS,302.00,$0.00,$0.00
206,WB,WIPER BLADES,"1,311.00","$22,720.91","$7,958.47"
Total,,,"231,818.77","$2,254,736.06","$582,649.03"
